City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,avarua,-21.2078,-159.775,28.03,74,9,2.57,CK,"01/24/23,19:49:22"
1,clyde river,70.4692,-68.5914,-27.87,69,100,8.23,CA,"01/24/23,19:49:23"
2,marshall,34.3834,-86.3333,12.84,37,0,2.06,US,"01/24/23,19:49:23"
3,hobart,-42.8794,147.3294,16.14,93,20,3.09,AU,"01/24/23,19:48:06"
4,buchanan,5.8808,-10.0467,26.39,84,100,2.61,LR,"01/24/23,19:49:24"
5,nanortalik,60.1432,-45.2371,-3.18,83,100,5.27,GL,"01/24/23,19:49:24"
6,hilo,19.7297,-155.09,26.82,78,75,3.13,US,"01/24/23,19:47:33"
7,tokur,53.1333,132.9,-43.93,100,75,1.15,RU,"01/24/23,19:49:25"
8,upernavik,72.7868,-56.1549,-14.21,76,100,1.91,GL,"01/24/23,19:49:25"
9,siderno,38.2779,16.302,9.08,81,100,3.51,IT,"01/24/23,19:49:26"
10,nikolskoye,59.7035,30.7861,-0.05,95,100,3.14,RU,"01/24/23,19:49:26"
11,nova aurora,-22.8667,-52.5667,31.6,45,26,1.42,BR,"01/24/23,19:49:27"
12,gamba,-2.65,10.0,25.7,80,91,1.06,GA,"01/24/23,19:49:27"
13,ribeira grande,38.5167,-28.7,16.22,77,40,4.12,PT,"01/24/23,19:49:28"
14,shimoda,34.6667,138.95,-0.67,50,0,12.08,JP,"01/24/23,19:49:28"
15,khatanga,71.9667,102.5,-38.77,97,77,3.01,RU,"01/24/23,19:49:29"
16,airai,-8.9266,125.4092,15.9,93,86,0.59,TL,"01/24/23,19:49:29"
17,balaghat,21.8,80.1833,20.22,45,66,1.8,IN,"01/24/23,19:49:30"
18,chokurdakh,70.6333,147.9167,-29.97,96,100,1.47,RU,"01/24/23,19:49:30"
19,cadiz,36.5,-5.75,8.19,82,99,1.18,ES,"01/24/23,19:49:30"
20,camana,-16.6228,-72.7111,24.56,75,44,3.77,PE,"01/24/23,19:49:31"
21,ushuaia,-54.8,-68.3,11.79,76,75,13.38,AR,"01/24/23,19:45:23"
22,ashtian,34.5217,50.0019,-4.7,76,37,1.85,IR,"01/24/23,19:49:31"
23,kieta,-6.2167,155.6333,24.47,85,100,2.67,PG,"01/24/23,19:49:32"
24,rajapur,25.3833,81.15,17.44,70,15,3.64,IN,"01/24/23,19:49:32"
25,college,64.8569,-147.8028,-18.56,77,100,0.0,US,"01/24/23,19:49:33"
26,labuhan,-6.8844,112.2051,25.68,86,100,3.02,ID,"01/24/23,19:49:33"
27,anisoc,1.8658,10.7689,22.58,92,100,1.0,GQ,"01/24/23,19:49:34"
28,punta arenas,-53.15,-70.9167,12.06,40,40,13.38,CL,"01/24/23,19:49:34"
29,la asuncion,11.0333,-63.8628,25.59,73,37,7.5,VE,"01/24/23,19:49:35"
30,busselton,-33.65,115.3333,14.82,82,1,5.47,AU,"01/24/23,19:49:35"
31,carnarvon,-24.8667,113.6333,24.37,77,1,7.14,AU,"01/24/23,19:49:35"
32,nizhniy tsasuchey,50.5167,115.1333,-31.19,95,100,0.71,RU,"01/24/23,19:49:36"
33,puerto del rosario,28.5004,-13.8627,17.86,59,20,9.26,ES,"01/24/23,19:49:36"
34,jamestown,42.097,-79.2353,0.31,59,100,7.72,US,"01/24/23,19:48:47"
35,tabas,33.5959,56.9244,2.74,40,0,2.01,IR,"01/24/23,19:49:37"
36,silifke,36.3778,33.9344,13.43,47,0,2.61,TR,"01/24/23,19:49:37"
37,likasi,-10.9814,26.7333,16.65,95,100,1.71,CD,"01/24/23,19:49:38"
38,concordia,-31.393,-58.0209,38.04,29,40,2.68,AR,"01/24/23,19:49:38"
39,ancud,-41.8697,-73.8203,15.32,59,57,4.28,CL,"01/24/23,19:49:39"
